PRODUCTO,UNIDADES,REFERENCIA
** MERIENDA BASAL (Lunes),2.0,S00061
BIOFRUTAS,2.0,
PIEZA FRUTA,2.0,
Ingrediente 3,1,PR0003
** MENÚV S1 LU AL (BASAL INDIVIDUAL),2.0,S00061
[298] LENTEJAS CON VERDURAS,2.0,
[22100] TORTILLA DE PATATAS CON CEBOLLA ,2.0,
[001] PAN,2.0,
PIEZA FRUTA,2.0,
** DESAYUNO BASAL (Lunes),2.0,S00061
LECHE,0.5,
[10580] CAFE SOLUBLE DESCAFEINADO SOBRES 2GR,2.0,
[20728] AZÚCAR SOBRES,2.0,
[001] PAN,2.0,
[20177] ACEITE OLIVA MONODOSIS,4.0,
[18623] TOMATE NATURAL TRITURADO MONODOSIS,2.0,
