MENÚ,COMIDA 1,COMIDA 2,TIPO DE PAN,POSTRE
BASAL INDIVIDUAL,ENSALADA MIXTA,CAZUELA DE BACALAO,PAN,YOGUR
BASAL SIN LENTEJAS,ENSALADA MIXTA,CAZUELA DE BACALAO,PAN,YOGUR
ACIDO URICO,ENSALADA MIXTA,CAZUELA DE BACALAO,PAN INTEGRAL,YOGUR DESNATADO SIN AZUCAR
COLESTEROL,ENSALADA MIXTA,CAZUELA DE BACALAO,PAN INTEGRAL,YOGUR DESNATADO SIN AZUCAR
DIABETICO,ENSALADA MIXTA,CAZUELA DE BACALAO,PAN INTEGRAL,YOGUR DESNATADO SIN AZUCAR
DIABETICO COLESTEROL,ENSALADA MIXTA,CAZUELA DE BACALAO,PAN INTEGRAL,YOGUR DESNATADO SIN AZUCAR
DIABETICO HIPOCALORICO,ENSALADA MIXTA,MERLUZA CON AJO Y PEREJIL,PAN INTEGRAL,YOGUR DESNATADO SIN AZUCAR
DIABETICO HIPOCALORICO SIN PATATAS,ENSALADA MIXTA,MERLUZA CON AJO Y PEREJIL,PAN INTEGRAL,YOGUR DESNATADO SIN AZUCAR
DIABETICO SIN SAL,ENSALADA MIXTA SIN SAL,CAZUELA DE BACALAO SIN SAL,PAN INTEGRAL,YOGUR DESNATADO SIN AZUCAR
DIABÉTICO RICO EN PROTEINAS,ENSALDA MIXTA,MERLUZA CON AJO Y PEREJIL,PAN INTEGRAL,YOGUR DESNATADO SIN AZUCAR
FACIL MASTICACION,CREMA DE CALABAZA,CAZUELA DE BACALAO,PAN DE MOLDE INTEGRAL,YOGUR
HIPERCALORICO,ARROZ 3 DELICIAS,CAZUELA DE BACALAO,PAN,YOGUR
HIPOCALORICO,ENSALADA MIXTA,CAZUELA DE BACALAO,PAN INTEGRAL,YOGUR DESNATADO SIN AZUCAR
HIPOCALÓRICO FACIL MASTICACIÓN,CREMA DE CALABAZA,CAZUELA DE BACALAO,PAN DE MOLDE INTEGRAL,YOGUR DESNATADO SIN AZUCAR
HIPOCALORICO SIN LACTOSA,ENSALADA MIXTA,CAZUELA DE BACALAO,PAN INTEGRAL,YOGUR SIN LACTOSA
RICO EN FIBRA,ENSALADA MIXTA,CAZUELA DE BACALAO,PAN INTEGRAL,YOGUR
SIN CARNE,ENSALADA MIXTA,PATATAS CON CHOCO,PAN,YOGUR
SIN CARNE SIN SAL,ENSALADA MIXTA SIN SAL,CAZUELA DE BACALAO SIN SAL,PAN,YOGUR
SIN CERDO,ENSALADA MIXTA,CAZUELA DE BACALAO,PAN,YOGUR
SIN MARISCO,ENSALADA MIXTA,SOPA DE PICADILLO,PAN,YOGUR
SIN MARISCO BAJO EN GRASA,ENSALADA MIXTA ,SOPA DE PICADILLO,PAN,YOGUR DESNATADO SIN AZUCAR
SIN MOLUSCOS,ENSALADA MIXTA,SOPA DE PICADILLO,PAN,YOGUR
SIN PESCADO Y SIN SAL,ENSALADA MIXTA SIN SAL , SOPA DE PICADILLO SIN SAL,PAN,YOGUR
SIN PESCADO SIN ARROZ,ENSALADA MIXTA SIN SAL ,SOPA DE PICADILLO,PAN,YOGUR
SIN RESIDUOS,CREMA DE CALABAZA,CAZUELA DE BACALAO,PAN,YOGUR SIN LACTOSA
SIN SAL,ENSALADA MIXTA SIN SAL,CAZUELA DE BACALAO SIN SAL,PAN,YOGUR
SIN SAL HIPOCALORICO,ENSALADA MIXTA SIN SAL,CAZUELA DE BACALAO,PAN INTEGRAL,YOGUR DESNATADO SIN AZUCAR
TRITURADO,CREMA DE ZANAHORIA,TRITURADO DE CAZUELA DE BACALAO,PAN DE MOLDE INTEGRAL,YOGUR
TRITURADO RICO EN FIBRA,CREMA DE ZANAHORIA,TRITURADO DE CAZUELA DE BACALAO,PAN DE MOLDE INTEGRAL,YOGUR
SIN LACTOSA ALMUERZO OI,ENSALADA MIXTA,CAZUELA DE BACALAO,PAN,YOGUR SIN LACTOSA
SIN LACTOSA Y SIN SAL ALMUERZO OI,ENSALADA MIXTA SIN SAL,CAZUELA DE BACALAO SIN SAL,PAN,YOGUR SIN LACTOSA
